Aug 01 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 01 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 01 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 01 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 01 00:00:00 Router: %OSPF-5-ADJCHG: Process 1, Nbr 10.0.3.1 state changed from Full to Down
Aug 01 00:00:00 Router: %OSPF-5-ADJCHG: Process 1, Nbr 10.0.3.1 state changed from Down to Full
Aug 01 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 01 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 01 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 01 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 01 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 01 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 01 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 01 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 01 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 01 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 01 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 01 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 01 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 01 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 01 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 01 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 01 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 01 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 01 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 01 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 01 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 01 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 01 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 01 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 01 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 01 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 01 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 01 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 01 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 01 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 01 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 01 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 01 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 01 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 01 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 01 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 01 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 01 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 01 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 01 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 01 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 01 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 01 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 01 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 01 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
